# Time,Rho,NinA,NinB,NoutB,Nrec
0.000000000000000000e+00,5.895135782608175207e-23,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.373700797557830872e-15
1.000000000000000021e-03,5.895135782608175207e-23,1.407359999999999722e-01,1.407360000000000024e-04,3.868480799999999701e-09,-1.699663698673248387e-15
2.000000000000000042e-03,5.895135782608175207e-23,2.813274697834108884e-01,4.220596013557777475e-04,1.546984409226694040e-08,-8.847564458847045991e-16
3.000000000000000062e-03,5.895135782608175207e-23,4.217745577769571597e-01,8.438225579288874834e-04,3.866441665333723301e-08,6.984919309616089784e-17
4.000000000000000083e-03,5.895135782608175207e-23,5.620774122549351270e-01,1.405876775930038885e-03,7.730845453171417161e-08,-1.327134668827056997e-15
5.000000000000000104e-03,5.895135782608175207e-23,7.022361813393692698e-01,2.108074313762639280e-03,1.352541472312647225e-07,2.793967723846435913e-16
6.000000000000000125e-03,5.895135782608175207e-23,8.422510130001689133e-01,2.950267381866492327e-03,2.163496218903199341e-07,1.862645149230957193e-16
7.000000000000000146e-03,5.895135782608175207e-23,9.821220550552839379e-01,3.932308342561662874e-03,3.244389474564836351e-07,-1.024454832077026419e-15
8.000000000000000167e-03,5.895135782608175207e-23,1.121849455170861320e+00,5.054049709892496911e-03,4.633621388571536820e-07,2.072192728519439579e-15
9.000000000000001055e-03,5.895135782608175207e-23,1.261433360861400788e+00,6.315344149471806105e-03,6.369551611657598778e-07,1.126900315284729101e-14
1.000000000000000021e-02,5.895135782608175207e-23,1.400873919489910469e+00,7.716044478325205860e-03,8.490499337637239923e-07,4.628673195838928398e-14
1.099999999999999936e-02,5.895135782608175207e-23,1.540171278268062993e+00,9.256003664735621209e-03,1.103474334498144277e-06,1.596054062247276353e-13
1.200000000000000025e-02,5.895135782608175207e-23,1.679325584256349924e+00,1.093507482808794840e-02,1.404052203835211729e-06,4.572793841361999591e-13
1.300000000000000114e-02,5.895135782608175207e-23,1.818336984364238296e+00,1.275311123871387779e-02,1.754603349009359371e-06,1.159496605396270966e-12
1.400000000000000029e-02,5.895135782608175207e-23,1.957205625350324496e+00,1.470996631773687467e-02,2.158943548168151909e-06,2.642138861119747404e-12
1.499999999999999944e-02,5.895135782608175207e-23,2.095931653822489693e+00,1.680549363691730483e-02,2.620884554512916834e-06,5.538901314139366665e-12
1.600000000000000033e-02,5.895135782608175207e-23,2.234515216238055491e+00,1.903954691849776143e-02,3.144234100435123719e-06,1.081682275980711062e-11
1.700000000000000122e-02,5.895135782608175207e-23,2.372956458903936472e+00,2.141198003504849595e-02,3.732795901648518839e-06,1.991188619285821843e-11
1.800000000000000211e-02,5.895135782608175207e-23,2.511255527976796742e+00,2.392264700931305207e-02,4.390369661317011702e-06,3.483237233012914934e-11
1.899999999999999953e-02,5.895135782608175207e-23,2.649412569463203138e+00,2.657140201405402621e-02,5.120751074178321965e-06,5.832982715219260300e-11
2.000000000000000042e-02,5.895135782608175207e-23,2.787427729219779771e+00,2.935809937189903449e-02,5.927731830663396697e-06,9.402234572917223912e-11
2.100000000000000130e-02,5.895135782608175207e-23,2.925301152953360795e+00,3.228259355518674906e-02,6.815099621011592051e-06,1.465821871533989920e-10
2.199999999999999872e-02,5.895135782608175207e-23,3.063032986221147613e+00,3.534473918581319818e-02,7.786638139381632900e-06,2.218658570200204961e-10
2.299999999999999961e-02,5.895135782608175207e-23,3.200623374430857648e+00,3.854439103507813907e-02,8.846127087958342814e-06,3.271317807957530280e-10
