# Time,Rho,NinA,NinB,NoutB,Nrec
0.000000000000000000e+00,5.895135782608175207e-23,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.984919309616089044e-16
3.000000000000000062e-03,5.895135782608175207e-23,4.222080000000000277e-01,1.266624000000000021e-05,1.044489816000000027e-09,-1.536682248115539629e-15
6.000000000000000125e-03,5.895135782608175207e-23,8.443685201027039122e-01,3.799625115632955275e-05,4.177755676978825014e-09,2.793967723846435913e-16
9.000000000000001055e-03,5.895135782608175207e-23,1.266481565647519680e+00,7.598756498907908389e-05,1.044388025489075811e-08,1.396983861923217957e-16
1.200000000000000025e-02,5.895135782608175207e-23,1.688547141973254506e+00,1.266377133820518639e-04,2.088674269465820597e-08,1.103617250919342203e-14
1.499999999999999944e-02,5.895135782608175207e-23,2.110565254418114822e+00,1.899442285827159839e-04,3.655001864416042239e-08,1.278240233659744283e-13
1.800000000000000211e-02,5.895135782608175207e-23,2.532535908319708540e+00,2.659046432021563793e-04,5.847718028421823866e-08,7.274094969034196315e-13
2.100000000000000130e-02,5.895135782608175207e-23,2.954459109015039608e+00,3.545164902150269698e-04,8.771149635857489067e-08,2.777762711048126390e-12
2.400000000000000050e-02,5.895135782608175207e-23,3.376334861840516233e+00,4.557773029595023036e-04,1.252960322038728326e-07,8.221529424190521455e-12
2.699999999999999969e-02,5.895135782608175207e-23,3.798163172131942655e+00,5.696846151372300963e-04,1.722736497796266959e-07,2.040560357272625160e-11
2.999999999999999889e-02,5.895135782608175207e-23,4.219944045224526263e+00,6.962359608132827945e-04,2.296870076981920361e-07,4.448443651199341108e-11
3.300000000000000155e-02,5.895135782608175207e-23,4.641677486452873147e+00,8.354288744161097622e-04,2.985785612547304272e-07,8.779931813478470297e-11
3.600000000000000422e-02,5.895135782608175207e-23,5.063363501150988988e+00,9.872608907374896305e-04,3.799905624571706580e-07,1.602170057594776243e-10
3.899999999999999994e-02,5.895135782608175207e-23,5.485002094652278615e+00,1.151729544932481725e-03,4.749650600561654289e-07,2.744155470281839715e-10
4.200000000000000261e-02,5.895135782608175207e-23,5.906593272289550889e+00,1.328832372519378902e-03,5.845438995750447128e-07,4.461198113858700176e-10
4.499999999999999833e-02,5.895135782608175207e-23,6.328137039395011598e+00,1.518566909379658438e-03,7.097687233397647233e-07,6.943099200725556403e-10
4.800000000000000100e-02,5.895135782608175207e-23,6.749633401300267899e+00,1.720930691757935728e-03,8.516809705088534932e-07,1.041364856064319673e-09
5.100000000000000366e-02,5.895135782608175207e-23,7.171082363336327425e+00,1.935921256261914636e-03,1.011321877103351584e-06,1.513196295127272743e-09
5.399999999999999939e-02,5.895135782608175207e-23,7.592483930833597405e+00,2.163536139862341518e-03,1.189732476036749883e-06,2.139330049976706500e-09
5.700000000000000205e-02,5.895135782608175207e-23,8.013838109121888209e+00,2.403772879892954271e-03,1.387953597144922688e-06,2.952975081279873685e-09
5.999999999999999778e-02,5.895135782608175207e-23,8.435144903530407134e+00,2.656629014050438525e-03,1.607025867216056877e-06,3.991067782044411199e-09
6.300000000000000044e-02,5.895135782608175207e-23,8.856404319387765511e+00,2.922102080394374957e-03,1.847989710020578109e-06,5.294296564534306527e-09
6.600000000000000311e-02,5.895135782608175207e-23,9.277616362021973373e+00,3.200189617347197219e-03,2.111885346341071421e-06,6.907105771824718784e-09
6.900000000000000577e-02,5.895135782608175207e-23,9.698781036760442120e+00,3.490889163694138164e-03,2.399752794002199270e-06,8.877705316990614548e-09
7.200000000000000844e-02,5.895135782608175207e-23,1.011989834892998452e+01,3.794198258583184741e-03,2.712631867900615147e-06,1.125803072936833014e-08
7.499999999999999722e-02,5.895135782608175207e-23,1.054096830385681471e+01,4.110114441525031595e-03,3.051562180034872938e-06,1.410375768318772506e-08
7.799999999999999989e-02,5.895135782608175207e-23,1.096199090686654642e+01,4.438635252393029022e-03,3.417583139535333332e-06,1.747422600165009702e-08
8.100000000000000255e-02,5.895135782608175207e-23,1.138296616328419297e+01,4.779758231423141338e-03,3.811733952694064080e-06,2.143244412727653933e-08
8.400000000000000522e-02,5.895135782608175207e-23,1.180389407843417438e+01,5.133480919213890929e-03,4.235053622994739417e-06,2.604502108879387428e-08
8.700000000000000788e-02,5.895135782608175207e-23,1.222477465764030846e+01,5.499800856726319229e-03,4.688580951142533121e-06,3.138213115744292548e-08
8.999999999999999667e-02,5.895135782608175207e-23,1.264560790622581266e+01,5.878715585283931198e-03,5.173354535094009036e-06,3.751746942289173885e-08
9.299999999999999933e-02,5.895135782608175207e-23,1.306639382951330752e+01,6.270222646572649362e-03,5.690412770087007358e-06,4.452819717116654527e-08
9.600000000000000200e-02,5.895135782608175207e-23,1.348713243282481855e+01,6.674319582640772172e-03,6.240793848670521607e-06,5.249488390982150810e-08
9.900000000000000466e-02,5.895135782608175207e-23,1.390782372148176194e+01,7.091003935898917629e-03,6.825535760734586184e-06,6.150146531872451731e-08
1.020000000000000073e-01,5.895135782608175207e-23,1.432846770080496945e+01,7.520273249119979048e-03,7.445676293540142751e-06,7.163519058376550558e-08
1.049999999999999961e-01,5.895135782608175207e-23,1.474906437611466536e+01,7.962125065439079954e-03,8.102253031748912543e-06,8.298655198886991100e-08
